jaimerdznl,0.92418
cambiado,0.79152
notaron,0.79111
conoces,0.78465
pescuezo,0.7846
pata,0.78299
cr,0.77785
independiente,0.77666
cómoda,0.76986
quitarnos,0.76889
disfrutar,0.7558
todavía,0.75527
costado,0.72534
terminé,0.7252
2015,0.72437
lancé,0.72431
mí,0.72282
daban,0.72085
pronóstic,0.71691
fregonas,0.71593
ch14_,0.71592
imaginarnos,0.71495
sudor,0.71395
lágrimas,0.7089
reflejado,0.7079
verá,0.7029
podamos,0.70035
opció,0.67321
independientes,0.66881
salimos,0.65093
seguro,0.65
gubernatura,0.64392
fe,0.643
broncos,0.64128
raza,0.59071
encuestado,0.58964
gente,0.57721
guevara,0.54924
quiere,0.54345
agradecido,0.54019
b,0.5393
partidos,0.53863
bronco,0.53241
niv,0.53199
conciencias,0.52918
animaron,0.52512
enteren,0.522
aportar,0.51855
estaré,0.51797
ayúdame,0.51635
ustedes,0.51233
montemorelos,0.51119
cómo,0.50898
bronca,0.50765
intereses,0.50523
2,0.50431
rendirse,0.50408
cabalgando,0.50063
trabajadora,0.50063
predije,0.50048
nuevoleón,0.49816
hará,0.49724
felic,0.49333
también,0.49286
opin,0.48945
pasalones,0.48945
permisivos,0.48569
tengo,0.48332
evolución,0.47296
volvió,0.47134
quitarse,0.4703
mucho,0.46222
escribe,0.46073
poco,0.45687
traen,0.45685
carlos,0.44647
contender,0.44442
regresé,0.44442
actitud,0.43985
anímate,0.43509
gana,0.43215
_votoinformado,0.43056
otorgar,0.427
vida,0.42537
recibo,0.42298
kilómetros,0.42044
presid,0.41908
recorridos,0.41879
ponga,0.41742
pero,0.41741
votar,0.41738
honesta,0.4149
despertó,0.41334
m,0.41215
broncas,0.4038
faltas,0.40247
semana,0.40143
ganaron,0.39906
orden,0.39579
nl,0.38175
ricardoanayac,0.92013
nadanosdetiene,0.77836
mxenpaz,0.7153
vamos,0.70885
ganar,0.70178
150,000,0.69786
vfgxapcpxk,0.69626
ganamos,0.66477
cambiar,0.66383
personas,0.65262
6wrl6mp7,0.63863
wdn8asioa0,0.62583
trabajaremos,0.61854
paz,0.61559
fuerzas,0.61449
frente,0.61351
méxico,0.60014
pasado,0.59326
loscabos,0.58859
econo,0.5881
decimos,0.57738
votaporunméx,0.56713
contigo,0.56292
ciudad,0.56141
ven,0.54256
150,0.54173
neza,0.53376
reunidas,0.5335
muchos,0.53204
ánimo,0.5316
construiremos,0.52702
aseguro,0.52486
f3rbjdoktf,0.5203
especialidades,0.51964
hospital,0.51882
fuerte,0.51831
jugando,0.51544
votaporunméxicoenpaz,0.5108
pocos,0.50987
anssvbngap,0.50492
gooooooooool,0.50102
goooooooooool,0.49648
nuestras,0.49377
vive,0.49297
queremos,0.48983
venga,0.48817
construir,0.48297
coahuilenses,0.48094
lucharemos,0.48094
uha5ddayat,0.48036
demostrar,0.47915
vota,0.46982
hacemos,0.46651
todas,0.46505
darle,0.45819
naucalpan,0.45613
decidió,0.4543
todo,0.44904
vamo,0.44576
1,0.44249
tuvimos,0.44247
nuestro,0.44218
lograr,0.43822
cierre,0.43418
apoyaremos,0.43306
vayamos,0.43225
mexicali,0.42818
becas,0.42227
podemos,0.41499
así,0.40943
tarjetas,0.40672
nadie,0.40287
posible,0.40069
tendrán,0.40069
futuro,0.39718
llena,0.39599
ricky,0.39564
t.co,0.39292
votaporunméxicoen,0.39124
votos,0.39074
mil,0.38719
realidad,0.38444
configuran,0.38433
ilícita,0.3837
emisión,0.38307
delitos,0.3814
decidieron,0.38005
julio,0.37983
comprando,0.37952
200,0.37572
rusia2018,0.37467
ricon,0.37092
https,0.37069
hernangomezb,0.3705
presagios,0.3705
va,0.37002
superaste,0.3698
ofrece,0.36374
jóvenes,0.36186
peores,0.36146
lopezobrador_,0.91787
fifí,0.80319
prensa,0.8025
conservadora,0.80185
rectificar,0.80177
emblema,0.80175
difama,0.8016
capaz,0.8007
hizo,0.79779
reforma,0.79055
ayer,0.76257
oficina,0.75061
potosí,0.75008
